date,name,type,value
1月28日,台湾,台湾,2
1月28日,日本,日本,2
1月28日,湖北,湖北,0
1月28日,浙江,温州市,0
1月28日,辽宁,锦州市,4
1月28日,福建,福州市,6
1月28日,福建,漳州市,1
1月28日,日本,日本,1
1月28日,台湾,台湾,1
1月28日,北京,外地来京,0
1月28日,黑龙江,齐齐哈尔市,1
1月28日,黑龙江,佳木斯市,2
1月26日,江西,南昌市,4
1月26日,江西,九江市,2
1月26日,江西,新余市,2
1月26日,江西,宜春市,1
1月26日,江西,吉安市,1
1月26日,江西,抚州市,1
1月26日,江西,景德镇市,1
1月26日,辽宁,盘锦市,1
1月26日,湖北,武汉市,80
1月26日,湖北,黄石市,5
1月26日,湖北,十堰市,20
1月26日,湖北,襄阳市,34
1月26日,湖北,宜昌市,11
1月26日,湖北,荆州市,14
1月26日,湖北,荆门市,52
1月26日,湖北,鄂州市,19
1月26日,湖北,孝感市,45
1月26日,湖北,黄冈市,32
1月26日,湖北,咸宁市,21
1月26日,湖北,随州市,16
1月26日,湖北,恩施州,8
1月26日,湖北,仙桃市,1
1月26日,湖北,天门市,8
1月26日,湖北,潜江市,5
1月26日,山西,朔州市,2
1月26日,山西,临汾市,1
1月26日,山西,吕梁市,1
1月26日,美国,美国,2
1月26日,香港,香港,2
1月26日,广西,南宁市,4
1月26日,广西,桂林市,3
1月26日,广西,柳州市,2
1月26日,广西,北海市,2
1月26日,广西,防城港市,1
1月26日,广西,玉林市,1
1月26日,上海,上海市,13
1月26日,河南,开封市,1
1月26日,河南,鹤壁市,2
1月26日,河南,许昌市,1
1月26日,河南,商丘市,6
1月26日,河南,洛阳市,1
1月26日,河南,平顶山市,3
1月26日,河南,安阳市,4
1月26日,河南,新乡市,1
1月26日,河南,漯河市,3
1月26日,河南,三门峡市,1
1月26日,河南,南阳市,4
1月26日,河南,信阳市,1
1月26日,河南,驻马店市,2
1月26日,河南,周口市,6
1月26日,河南,郑州市,9
1月26日,山东,威海市,3
1月26日,山东,德州市,3
1月26日,山东,济南市,2
1月26日,山东,青岛市,2
1月26日,山东,烟台市,2
1月26日,山东,菏泽市,2
1月26日,山东,淄博市,1
1月26日,山东,潍坊市,1
1月26日,山东,日照市,1
1月26日,安徽,芜湖市,3
1月26日,安徽,安庆市,3
1月26日,安徽,蚌埠市,2
1月26日,安徽,宿州市,1
1月26日,安徽,淮南市,1
1月26日,江苏,徐州市,3
1月26日,江苏,无锡市,2
1月26日,江苏,常州市,1
1月26日,江苏,苏州市,1
1月26日,江苏,南通市,2
1月26日,江苏,淮安市,1
1月26日,江苏,扬州市,3
1月26日,江苏,泰州市,1
1月26日,浙江,温州市,14
1月26日,浙江,湖州市,2
1月26日,浙江,绍兴市,1
1月26日,浙江,舟山市,2
1月26日,浙江,金华市,2
1月26日,浙江,衢州市,2
1月26日,浙江,台州市,1
1月26日,湖南,长沙市,4
1月26日,湖南,衡阳市,1
1月26日,湖南,株洲市,2
1月26日,湖南,湘潭市,1
1月26日,湖南,邵阳市,6
1月26日,湖南,岳阳市,1
1月26日,湖南,常德市,5
1月26日,湖南,益阳市,3
1月26日,湖南,郴州市,3
1月26日,湖南,怀化市,3
1月26日,湖南,娄底市,2
1月26日,云南,保山市,2
1月26日,云南,昭通市,1
1月26日,云南,德宏州,2
1月26日,云南,昆明市,3
1月26日,贵州,六盘水市,1
1月26日,贵州,黔南州,1
1月26日,吉林,四平市,1
1月26日,吉林,松原市,1
1月26日,重庆,万州区,1
1月26日,重庆,大渡口区,2
1月26日,重庆,江北区,1
1月26日,重庆,九龙坡区,1
1月26日,重庆,渝北区,1
1月26日,重庆,巴南区,1
1月26日,重庆,长寿区,1
1月26日,重庆,江津区,2
1月26日,重庆,合川区,1
1月26日,重庆,綦江区,1
1月26日,重庆,璧山区,1
1月26日,重庆,潼南区,2
1月26日,重庆,开州区,3
1月26日,重庆,丰都县,2
1月26日,重庆,垫江县,2
1月26日,重庆,忠县,1
1月26日,重庆,云阳县,4
1月26日,重庆,巫山县,2
1月26日,重庆,巫溪县,2
1月26日,重庆,两江新区,4
1月26日,广东,梅州市,1
1月26日,广东,汕尾市,1
1月26日,广东,广州市,25
1月26日,广东,深圳市,9
1月26日,广东,珠海市,2
1月26日,广东,佛山市,4
1月26日,广东,韶关市,1
1月26日,广东,中山市,2
1月26日,广东,阳江市,2
1月26日,广东,湛江市,1
1月26日,甘肃,张掖市,1
1月26日,甘肃,陇南市,1
1月26日,甘肃,兰州市,4
1月26日,甘肃,临夏州,1
1月26日,黑龙江,佳木斯市,1
1月26日,黑龙江,双鸭山市,1
1月26日,黑龙江,七台河市,1
1月26日,黑龙江,绥化市,1
1月26日,黑龙江,大庆市,2
1月26日,内蒙古,包头市,2
1月26日,内蒙古,兴安盟,1
1月26日,内蒙古,通辽市,1
1月26日,河北,廊坊市,2
1月26日,河北,石家庄市,2
1月26日,河北,邢台市,1
1月27日,澳门,澳门,1
1月26日,天津,河北区,3
1月26日,天津,外地来津,1
1月26日,四川,成都市,11
1月26日,四川,绵阳市,2
1月26日,四川,泸州市,1
1月26日,四川,达州市,2
1月26日,四川,自贡市,1
1月26日,四川,资阳市,2
1月26日,四川,宜宾市,1
1月26日,四川,凉山州,1
1月26日,四川,广安市,4
1月27日,辽宁,沈阳市,1
1月27日,韩国,韩国,1
1月27日,陕西,西安市,4
1月27日,陕西,咸阳市,1
1月27日,陕西,渭南市,1
1月27日,陕西,延安市,1
1月27日,陕西,汉中市,2
1月27日,陕西,安康市,4
1月27日,天津,红桥区,1
1月27日,天津,河北区,2
1月27日,辽宁,大连市,1
1月26日,海南,海口市,2
1月26日,海南,三亚市,2
1月26日,海南,儋州市,1
1月26日,海南,万宁市,3
1月26日,海南,澄迈县,1
1月26日,海南,澄迈县,0
1月26日,宁夏,银川市,3
